1786,1
1791,1
1792,1
1794,1
1797,2
1798,1
1800,1
1804,1
1806,1
1808,4
1810,1
1811,1
1814,1
1816,2
1818,1
1823,2
1825,2
1827,1
1828,2
1829,1
1830,1
1836,4
1838,3
1839,3
1840,2
1841,1
1842,1
1843,2
1844,3
1845,4
1847,4
1848,1
1849,3
1850,4
1851,6
1852,7
1853,10
1854,10
1855,9
1856,9
1857,16
1858,14
1859,9
1860,10
1861,9
1862,6
1863,13
1864,16
1865,12
1866,16
1867,19
1868,18
1869,31
1870,36
1871,25
1872,32
1873,23
1874,33
1875,19
1876,31
1877,27
1878,51
1879,30
1880,34
1881,52
1882,44
1883,41
1884,46
1885,55
1886,50
1887,40
1888,57
1889,45
1890,63
1891,59
1892,68
1893,63
1894,69
1895,68
1896,53
1897,51
1898,83
1899,74
1900,75
1901,88
1902,94
1903,97
1904,90
1905,79
1906,91
1907,102
1908,142
1909,98
1910,110
1911,136
1912,118
1913,138
1914,123
1915,146
1916,171
1917,181
1918,211
1919,225
1920,211
1921,262
1922,262
1923,233
1924,272
1925,259
1926,241
1927,279
1928,262
1929,283
1930,316
1931,275
1932,288
1933,237
1934,249
1935,227
1936,206
1937,197
1938,195
1939,127
1940,135
1941,150
1942,130
1943,89
1944,95
1945,120
1946,145
1947,133
1948,143
1949,111
1950,123
1951,139
1952,123
1953,122
1954,141
1955,127
1956,111
1957,124
1958,116
1959,112
1960,132
1961,144
1962,145
1963,139
1964,153
1965,143
1966,163
1967,195
1968,195
1969,200
1970,226
1971,251
1972,229
1973,278
1974,285
1975,239
1976,205
1977,197
1978,217
1979,217
1980,207
1981,205
1982,196
1983,194
1984,185
1985,177
1986,181
1987,185
1988,198
1989,195
1990,162
1991,149
1992,163
1993,160
1994,179
1995,186
1996,141
1997,174
1998,173
1999,147
2000,163
2001,243
2002,160
2003,151
2004,168
2005,168
2006,165
2007,205
2008,162
2009,141
2010,171
2011,188
2012,144
2013,132
2014,157
2015,165
2016,181
2017,186
2018,187
2019,163
2020,417
2021,623
2022,224
